feature_id,n_points,fit_status,converged,is_bimodal_candidate,gmm_random_seed,gmm_n_init,activation_population,activation_storage_mode,rank_censored,log_mean_low,log_mean_high,log_variance_low,log_variance_high,log_std_low,log_std_high,component_weight_low,component_weight_high,minimum_component_weight,mode_separation,n_iter_1,n_iter_2,bic_1,bic_2,delta_bic,bimodality_score,activation_min,activation_p50,activation_p95,activation_max,candidate_delta_bic_threshold,candidate_min_component_weight,candidate_min_separation,n_documents,discovery_variance_log1p,selected_candidate
40,677,ok,True,True,20260907,5,analysis_activations,positive,False,4.684340519396904,5.889947218849206,0.17377406937286557,0.4086419921494043,0.4168621707145727,0.6392511182230378,0.6588513164247035,0.34114868357529643,0.34114868357529643,2.234107049255605,2,4,1566.1895266342397,1477.495560558841,88.69396607539875,88.69396607539875,52.85085678100586,137.737060546875,774.2536499023432,1460.9974365234375,10.0,0.1,2.0,160,0.5814516,False
70,4624,ok,True,True,20260907,5,analysis_activations,positive,False,4.415877597471337,5.184775393062414,0.0628247576665899,0.1323337529666478,0.25064867377783967,0.3637770649266495,0.5444534075118271,0.45554659248817286,0.45554659248817286,2.461443469695931,2,5,6561.7835437760505,6036.065991836793,525.7175519392576,525.7175519392576,54.613983154296875,109.0386962890625,279.24716796875,612.5986938476562,10.0,0.1,2.0,443,0.24117284,False
78,787,ok,True,True,20260907,5,analysis_activations,positive,False,4.197445472519236,5.791796922575893,0.14896893914069698,0.6239956695266213,0.3859649454817069,0.7899339652949614,0.5564112254310046,0.44358877456899537,0.44358877456899537,2.5645977337030454,2,13,2236.5150145617677,2025.122390396261,211.39262416550673,211.39262416550673,34.52837371826172,97.96514892578125,842.7168334960927,1684.63720703125,10.0,0.1,2.0,121,0.9883397,False
113,826,ok,True,True,20260907,5,analysis_activations,positive,False,3.957598375175601,4.992490587222064,0.07155251737736977,0.3147338278797547,0.26749302304428385,0.5610114329314106,0.4176861017975382,0.5823138982024618,0.4176861017975382,2.3548076511669342,2,13,1740.2664562188088,1624.1946823982653,116.07177382054351,116.07177382054351,33.19895935058594,85.97367095947266,348.615966796875,566.337158203125,10.0,0.1,2.0,171,0.47422764,False
178,6148,ok,True,True,20260907,5,analysis_activations,positive,False,4.764351869136047,5.89683250211051,0.19827646594960077,0.1977019865992365,0.44528245636854,0.4446369154706304,0.447740175714259,0.552259824285741,0.447740175714259,2.5451302013611556,2,4,13385.973072226116,12994.846422216306,391.12665000980996,391.12665000980996,52.330322265625,226.08950805664062,672.334716796875,1197.2164306640625,10.0,0.1,2.0,472,0.51516867,False
199,715,ok,True,True,20260907,5,analysis_activations,positive,False,4.535055186499509,5.8253780091329785,0.12881917181074892,0.17862968157959908,0.3589138779857209,0.4226460476327669,0.3984601058543452,0.6015398941456547,0.3984601058543452,3.290992843703369,2,4,1624.9040014168547,1512.3729056326774,112.5310957841773,112.5310957841773,50.806793212890625,224.21243286132812,617.4396850585937,807.7433471679688,10.0,0.1,2.0,195,0.5586296,False
208,6783,ok,True,True,20260907,5,analysis_activations,positive,False,4.675687571959691,5.6154641402383385,0.14286605474910768,0.188182025102412,0.3779762621502939,0.43379952178674885,0.45348815602408626,0.5465118439759137,0.45348815602408626,2.3099047591768045,2,5,12819.15159249085,12577.780007781643,241.37158470920804,241.37158470920804,53.686767578125,180.02017211914062,497.1058410644529,1153.35693359375,10.0,0.1,2.0,487,0.38657203,False
214,2650,ok,True,True,20260907,5,analysis_activations,positive,False,4.416893727841561,5.311157808537255,0.059289127685868394,0.25427551381909175,0.24349358859294098,0.5042573884625705,0.44658813517952717,0.5534118648204729,0.44658813517952717,2.25848516757366,2,16,4864.164635165797,4431.815379201461,432.3492559643364,432.3492559643364,56.122283935546875,123.37919616699219,419.21433715820297,894.222412109375,10.0,0.1,2.0,431,0.3649794,False
217,324,ok,True,True,20260907,5,analysis_activations,positive,False,4.2130208200538295,5.372014402382331,0.17926927357976213,0.2714500181624632,0.42340202358959284,0.5210086545945884,0.5958847946801293,0.4041152053198708,0.4041152053198708,2.4414225714415716,2,4,731.381306625648,717.9704323422445,13.410874283403473,13.410874283403473,31.862686157226562,98.35813903808594,391.0738800048827,696.4559326171875,10.0,0.1,2.0,65,0.5416582,False
218,1021,ok,True,True,20260907,5,analysis_activations,positive,False,4.221382825149327,5.295207483127829,0.09712793221186942,0.2667877181145273,0.3116535451617219,0.5165149737563542,0.6341064073633746,0.36589359263662535,0.36589359263662535,2.517375514554892,2,5,2041.869039288463,1830.1658236243923,211.70321566407074,211.70321566407074,41.32676696777344,85.84288024902344,364.227783203125,772.819091796875,10.0,0.1,2.0,212,0.42715925,False
259,2462,ok,True,True,20260907,5,analysis_activations,positive,False,4.546881018549771,5.370760862784659,0.09174181177249723,0.19950545055979677,0.3028891080453327,0.44666033018368306,0.57033916219432,0.4296608378056801,0.4296608378056801,2.1589766740103875,2,5,4073.9654208999773,3840.083080209111,233.88234069086639,233.88234069086639,57.298614501953125,124.84482192993164,388.00562591552716,708.2682495117188,10.0,0.1,2.0,357,0.3045023,False
278,2876,ok,True,True,20260907,5,analysis_activations,positive,False,4.434291783676893,5.3288222706117,0.07368647897815757,0.22485505463697855,0.2714525354056535,0.4741888385832996,0.5189298706556107,0.48107012934438936,0.48107012934438936,2.3153026276711794,2,9,5126.709474146865,4699.1253589578355,427.58411518902994,427.58411518902994,54.72541427612305,117.56939697265625,377.65613555908203,953.053466796875,10.0,0.1,2.0,289,0.34628803,False
279,600,ok,True,True,20260907,5,analysis_activations,positive,False,4.1145780445813624,4.917992632862851,0.0683828236189181,0.16297034543470162,0.2615010967833942,0.4036958575892272,0.6056585496506985,0.3943414503493015,0.3943414503493015,2.3622017382433294,2,5,906.9168327972893,834.2378496421262,72.67898315516311,72.67898315516311,39.914794921875,75.5114517211914,220.96879272460913,444.23931884765625,10.0,0.1,2.0,193,0.2602785,False
285,2557,ok,True,True,20260907,5,analysis_activations,positive,False,4.275700496297915,4.5093361865353705,0.005545444284707325,0.021558078155537525,0.07446773989256908,0.1468266942879854,0.6043054944528974,0.39569450554710267,0.39569450554710267,2.0069720114107943,2,6,-2167.172385145719,-2718.798195414182,551.6258102684628,551.6258102684628,63.608604431152344,75.14824676513672,106.58816833496093,156.65472412109375,10.0,0.1,2.0,382,0.024942825,False
292,5060,ok,True,True,20260907,5,analysis_activations,positive,False,4.450451837058661,5.174112160830216,0.058347775218916556,0.16098974062640214,0.2415528414631394,0.4012352684229069,0.5975238711660927,0.4024761288339072,0.4024761288339072,2.185210606203119,2,5,6842.374623331009,6065.6150777270495,776.7595456039599,776.7595456039599,57.84031677246094,104.4931640625,279.5415374755861,696.7599487304688,10.0,0.1,2.0,443,0.22564247,True
295,925,ok,True,True,20260907,5,analysis_activations,positive,False,4.397751840173752,5.7452065204375655,0.2229625491460308,0.32878106515848693,0.47218910316316154,0.5733943365246006,0.542934772614984,0.45706522738501604,0.45706522738501604,2.5654319981667424,2,4,2337.253417459876,2272.67022717264,64.583190287236,64.583190287236,33.508544921875,136.74362182617188,700.6609497070308,1026.7269287109375,10.0,0.1,2.0,97,0.72267014,False
