n_low,n_high,documents_low,documents_high,assignment_rate,document_p,document_null_mean,document_null_p95,document_movable_fraction,token_identity_p,token_identity_null_mean,token_identity_null_p95,token_identity_movable_fraction,js_ci_low,js_ci_high,js_bootstrap_se,js_bootstrap_bias,js_bootstrap_percentile_low,js_bootstrap_percentile_high,bootstrap_valid,null_excess,js_bits,neighbor_jaccard,shared_rank_spearman,shared_neighbors,cosine,conditional_l1,conditional_mass_change,status,partner_count,feature_id,candidate_id,role,discovery_delta_bic,document_q_bh,document_q_by,token_identity_q_bh,token_identity_q_by
2981,1398,481,362,0.7918625678119349,0.0005,0.033532367056454085,0.03465713785966445,0.3005252340717059,0.0005,0.04237776343985026,0.04333258404061117,0.07787166019639187,0.04254938106109,0.05306957057030517,0.0026837218135752996,0.012711278998881609,0.055238784730077393,0.06617997138891844,300,0.014277108759243498,0.04780947581569758,0.6666666666666666,0.5739515902626287,16,0.9556298262892151,27.76209844033672,5.810720159484077,ok,4728,524,524,candidate,1446.7285384230527,0.0005454545454545455,0.0020596135515019128,0.0006666666666666666,0.002517305451835671
1576,1148,377,122,0.7487630566245189,0.424,0.05545845805258735,0.056785390660775543,0.3263582966226138,0.0005,0.04790205452104415,0.04937753302003275,0.19162995594713655,0.038269097099664084,0.07295968624389616,0.008849640087814309,0.024249732996796274,0.06484454107097366,0.09854465207313451,300,0.00015593361919277043,0.055614391671780124,0.48148148148148145,0.16231102012481516,13,0.9240648743245949,24.962291515591005,-0.9603061603494893,ok,3962,1120,1120,candidate,1322.7997377228955,0.424,1.0,0.0006666666666666666,0.002517305451835671
3240,1030,470,190,0.6752055660974067,0.0005,0.16389808806364878,0.16631275220884498,0.23091334894613583,0.0005,0.08215457378577941,0.08592339343502381,0.5175644028103045,0.15309442457887298,0.19650331145657,0.011073695632065566,0.021347303060075318,0.17678292390021647,0.21925463427305983,300,0.010900779954072709,0.1747988680177215,0.21212121212121213,-0.1785714285714286,7,0.7061297125800979,40.947845499220904,8.231724199928081,ok,4298,485,485,candidate,1298.8601208659693,0.0005454545454545455,0.0020596135515019128,0.0006666666666666666,0.002517305451835671
3433,3016,481,433,0.6914334727136271,0.0005,0.02461524064110116,0.025427014200946303,0.4133974259575128,0.0005,0.035938073222742895,0.03653891492714543,0.08171809582881066,0.035030073146226096,0.04318950016874795,0.00208148648533721,0.009132900253422858,0.04451593954615175,0.05222637804840437,300,0.014494546016385865,0.039109786657487024,0.42857142857142855,0.6783216783216784,12,0.9579423751234422,27.445736439349393,6.587617279162075,ok,5122,322,322,candidate,1134.586002793243,0.0005454545454545455,0.0020596135515019128,0.0006666666666666666,0.002517305451835671
921,352,339,108,0.7829028290282903,0.0005,0.07504513202347518,0.07778365063007822,0.13982717989002358,0.312,0.08478991299130942,0.08539680805280025,0.012568735271013355,0.06724338859498087,0.10276924543790787,0.009062718582379335,0.02786994523961965,0.09724654665016048,0.13031343843296203,300,0.009961184992969191,0.08500631701644437,0.6666666666666666,0.5287192773739907,16,0.9079967596958858,36.22041259500543,8.47900009870692,ok,2183,7603,7603,candidate,1046.6061806784348,0.0005454545454545455,0.0020596135515019128,0.32556521739130434,1.0
4711,8421,499,492,0.600374891418644,0.0005,0.01769791788782247,0.018258662207327244,0.5473652147426135,0.0005,0.018206729118909894,0.01870589920598323,0.4355772159610113,0.027672836794137574,0.0332264983635544,0.0014167504003614365,0.009134647577857816,0.036951953605468046,0.04252332163420968,300,0.01275174969102352,0.030449667578845988,0.7391304347826086,0.6474556704379418,17,0.969867690253132,18.374926266023188,1.9945681681312877,ok,8234,4006,4006,candidate,998.7764837249924,0.0005454545454545455,0.0020596135515019128,0.0006666666666666666,0.002517305451835671
3438,3009,347,159,0.713084835748258,0.0005,0.03902637342139872,0.04043147986968885,0.5535908174344656,0.0005,0.0777371622910798,0.07838627401993631,0.07724523033969288,0.07518856958538955,0.08918884031630056,0.0035714976354364815,0.008776526130207893,0.08499076828476573,0.09744396619007088,300,0.04316233152944634,0.08218870495084506,0.5384615384615384,0.621978021978022,14,0.9261713026820271,40.983883138252494,13.555157679956054,ok,4477,531,531,candidate,986.205145399932,0.0005454545454545455,0.0020596135515019128,0.0006666666666666666,0.002517305451835671
2047,1224,435,337,0.6435176077119811,0.0005,0.022395821712190324,0.023315148717790925,0.3075512075817793,0.009,0.02587905181094331,0.026270550175478996,0.03821461326811373,0.02222409173907199,0.030665982567557527,0.00215354357869529,0.014577641648806917,0.036903557977798665,0.0452227053239918,300,0.004049215441124434,0.026445037153314758,0.6,0.7999999999999999,15,0.9770740041486238,20.945393146674075,7.160905405966332,ok,4202,1036,1036,candidate,980.8907660360904,0.0005454545454545455,0.0020596135515019128,0.011368421052631578,0.04292668244182934
1519,798,381,216,0.7256498590667084,0.0005,0.04622084068191566,0.04841460060942674,0.3284419507984463,0.0005,0.05095072920380421,0.05277588859663924,0.28787224859732413,0.05256269889802126,0.07318168537528785,0.005259945529914949,0.02414202750145203,0.07777911413948392,0.09820792969076328,300,0.016651351454738894,0.06287219213665456,0.42857142857142855,0.6573426573426573,12,0.9147558271622848,25.98150329741404,2.6693981497522614,ok,3282,1550,1550,candidate,964.5760081274043,0.0005454545454545455,0.0020596135515019128,0.0006666666666666666,0.002517305451835671
2753,2938,468,403,0.6063285744726188,0.0005,0.03535170101841289,0.036600704648621654,0.37199086276577054,0.0005,0.05250500938869602,0.05307407617238129,0.08610086100861009,0.05199561216407221,0.06010822987040945,0.0020695453332492952,0.009678937501212993,0.06160659978467291,0.0697284994124376,300,0.020700219998827943,0.05605192101724083,0.48148148148148145,0.6043956043956044,13,0.9352473288221226,31.630576409372832,8.207893758822905,ok,5173,346,346,candidate,932.3692438346698,0.0005454545454545455,0.0020596135515019128,0.0006666666666666666,0.002517305451835671
