feature_id,conjunction_p,q_by
72,0.0001,0.0010069221807342684
296,0.0001,0.0010069221807342684
575,0.0001,0.0010069221807342684
665,0.0001,0.0010069221807342684
710,1.0,1.0
802,0.3144,1.0
863,0.0004,0.0032953816824030607
1076,1.0,1.0
1635,0.0052,0.03624919850643366
1645,0.0001,0.0010069221807342684
1844,0.0001,0.0010069221807342684
1892,0.0001,0.0010069221807342684
1903,1.0,1.0
2286,0.1248,0.6652794078827824
2377,0.0001,0.0010069221807342684
3136,0.0068,0.04401688390066944
6756,0.0004,0.0032953816824030607
7511,1.0,1.0
8532,0.0291,0.1758086127562033
10392,0.0042,0.031718048693129455
12335,0.1066,0.6037757126227856
17857,1.0,1.0
28027,0.0001,0.0010069221807342684
35053,0.2405,1.0
