feature_id,conjunction_p,q_by
72,0.0012,0.021749519103860197
296,0.0672,0.6089865349080856
575,0.14,1.0
665,0.178,1.0
710,1.0,1.0
802,0.7904,1.0
863,0.0232,0.23763363465328738
1076,1.0,1.0
1635,0.0236,0.23763363465328738
1645,0.0002,0.006041533084405611
1844,1.0,1.0
1892,0.0002,0.006041533084405611
1903,1.0,1.0
2286,0.1832,1.0
2377,0.0028,0.04229073159083928
3136,0.0116,0.15017525095522516
6756,0.0004,0.009062299626608417
7511,1.0,1.0
8532,0.104,0.8567992374247958
10392,0.434,1.0
12335,0.4698,1.0
17857,1.0,1.0
28027,0.0002,0.006041533084405611
35053,0.8088,1.0
