feature_id,n_points,fit_status,converged,is_bimodal_candidate,gmm_random_seed,gmm_n_init,activation_population,activation_storage_mode,rank_censored,log_mean_low,log_mean_high,log_variance_low,log_variance_high,log_std_low,log_std_high,component_weight_low,component_weight_high,minimum_component_weight,mode_separation,n_iter_1,n_iter_2,bic_1,bic_2,delta_bic,bimodality_score,activation_min,activation_p50,activation_p95,activation_max,candidate_delta_bic_threshold,candidate_min_component_weight,candidate_min_separation,n_documents,discovery_variance_log1p,selected_candidate
11,1350,ok,True,True,20260908,5,analysis_activations,positive,False,4.875528279189082,5.926149220100581,0.10439932003866224,0.19053502791257695,0.3231088362126023,0.436503182018845,0.5229459137635396,0.4770540862364604,0.4770540862364604,2.735888375003932,2,4,2677.1842730332455,2525.796855062744,151.3874179705017,151.3874179705017,77.45822143554688,198.55194854736328,674.5363281249997,1285.817138671875,10.0,0.1,2.0,413,0.42117167,False
20,1251,ok,True,True,20260908,5,analysis_activations,positive,False,5.114963820812776,6.167401664437474,0.10459058814509402,0.2015419091762941,0.32340468169940584,0.44893419247846794,0.577780119055023,0.42221988094497703,0.42221988094497703,2.6900276050297505,2,4,2466.4203925120582,2291.599858313563,174.82053419849535,174.82053419849535,97.5379638671875,236.2616424560547,829.7037353515625,1508.26318359375,10.0,0.1,2.0,263,0.4160623,False
48,5739,ok,True,True,20260908,5,analysis_activations,positive,False,6.469314670682397,6.698844061178529,0.01008728468885545,0.0038064544437305067,0.10043547525080693,0.06169647026962326,0.511959510401302,0.48804048959869795,0.48804048959869795,2.7538718777367523,2,5,-6094.5465422243915,-6794.30869002526,699.7621478008687,699.7621478008687,112.77487182617188,738.8846435546875,879.0357177734375,1038.217529296875,10.0,0.1,2.0,5738,0.020187492,False
53,36450,ok,True,True,20260908,5,analysis_activations,positive,False,5.274713207269552,5.967186248326802,0.06673187990182813,0.10887990593074266,0.25832514376620047,0.32996955303594705,0.5180818406593085,0.48191815934069154,0.48191815934069154,2.3369048963916104,2,5,46010.270787037276,43593.86416650836,2416.4066205289128,2416.4066205289128,126.1165771484375,263.7176513671875,601.9415832519531,1305.3004150390625,10.0,0.1,2.0,5545,0.20677045,False
55,19585,ok,True,True,20260908,5,analysis_activations,positive,False,5.18615324532758,6.083805488632793,0.09727448355801632,0.16208624995428872,0.31188857554905136,0.4025993665597212,0.5439196306295098,0.4560803693704902,0.4560803693704902,2.492705692733473,2,4,33690.99977616034,31882.62054025782,1808.3792359025174,1808.3792359025174,106.72381591796875,254.87506103515625,746.627795410156,1556.36083984375,10.0,0.1,2.0,1920,0.32674035,False
68,2950,ok,True,True,20260908,5,analysis_activations,positive,False,4.830423025238913,5.48993519173385,0.0451288504726322,0.10733929638732546,0.21243552074131153,0.3276267638446613,0.599211688902751,0.4007883110972491,0.4007883110972491,2.388626513589149,2,5,3237.8356636841268,2797.748311590107,440.08735209401993,440.08735209401993,90.17472839355469,150.66891479492188,360.884829711914,623.3474731445312,10.0,0.1,2.0,334,0.17457822,False
72,153959,ok,True,True,20260908,5,analysis_activations,positive,False,5.027749373362566,5.756938410321746,0.06589805100697102,0.10909073232016314,0.2567061569323397,0.330288861937794,0.5311161578195489,0.468883842180451,0.468883842180451,2.465187873061241,2,4,202818.6086617311,189822.20088035392,12996.407781377173,12996.407781377173,99.082275390625,206.08981323242188,486.97041625976584,1002.8975830078125,10.0,0.1,2.0,3046,0.21855758,True
89,2402,ok,True,True,20260908,5,analysis_activations,positive,False,4.866337725264134,5.282264120330984,0.016062045252130477,0.06807740704140955,0.12673612449546687,0.2609164752203462,0.5385608940611979,0.4614391059388021,0.4614391059388021,2.0278304468058344,2,12,855.3503333610616,375.5927627236614,479.75757063740025,479.75757063740025,107.31071472167969,148.34044647216797,270.4076904296874,510.6671142578125,10.0,0.1,2.0,1073,0.08308906,False
92,1255,ok,True,True,20260908,5,analysis_activations,positive,False,4.615757669188195,5.429562853452849,0.0802194817967975,0.08159576985615107,0.2832304393895499,0.28564973281302236,0.39010874374227794,0.6098912562577219,0.39010874374227794,2.8610518172658255,2,4,1777.589196979832,1651.1222549664008,126.46694201343121,126.46694201343121,63.115936279296875,172.66836547851562,338.3491271972656,472.8560485839844,10.0,0.1,2.0,1249,0.238821,False
94,5838,ok,True,True,20260908,5,analysis_activations,positive,False,5.32043137656713,6.275253465108975,0.11281233404537953,0.16573503488639196,0.3358754740158613,0.4071056802433392,0.5451556744967476,0.45484432550325243,0.45484432550325243,2.5585147485499538,2,4,10668.03878136057,10156.414377172536,511.62440418803453,511.62440418803453,115.32546997070312,298.45013427734375,893.6279479980464,1547.1700439453125,10.0,0.1,2.0,600,0.36300743,False
100,6333,ok,True,True,20260908,5,analysis_activations,positive,False,5.038714385571099,5.540298795168883,0.024683914018459093,0.07680153820306511,0.1571111517953423,0.2771309044532297,0.5607901103519302,0.4392098896480699,0.4392098896480699,2.226676529104349,2,7,3984.6002006250696,2923.025350129521,1061.5748504955486,1061.5748504955486,120.9881591796875,180.06329345703125,358.36932373046875,690.4169921875,10.0,0.1,2.0,2410,0.109557785,False
101,46956,ok,True,True,20260908,5,analysis_activations,positive,False,4.95623180965125,5.6244814230310505,0.03932761749439993,0.12032609373832,0.19831191969823683,0.3468805179572932,0.5905892047519125,0.40941079524808754,0.40941079524808754,2.3651800373564917,2,7,52877.42662054169,43258.57202711753,9618.854593424163,9618.854593424163,104.79016876220703,169.91360473632812,420.91590881347656,1060.4534912109375,10.0,0.1,2.0,2833,0.18046586,False
104,15958,ok,True,True,20260908,5,analysis_activations,positive,False,5.272858960396896,6.266849735398829,0.13034527370950794,0.1963817033297822,0.3610336185308896,0.4431497527132134,0.5160389661869278,0.48396103381307215,0.48396103381307215,2.459262312356582,2,4,31041.195839772317,29931.55973452679,1109.6361052455286,1109.6361052455286,104.4241943359375,303.18951416015625,953.797521972656,1966.9739990234375,10.0,0.1,2.0,4372,0.4090794,False
107,53851,ok,True,True,20260908,5,analysis_activations,positive,False,5.270408538069861,6.214873249579228,0.13753136205115682,0.16045430658356957,0.37085221052483536,0.40056748068654996,0.46133435734116857,0.5386656426588314,0.46133435734116857,2.4468257644507676,2,4,99527.6538219211,96779.29565354329,2748.3581683778175,2748.3581683778175,99.6463623046875,327.0054931640625,867.3652038574219,1694.27197265625,10.0,0.1,2.0,5438,0.37155426,False
109,4881,ok,True,True,20260908,5,analysis_activations,positive,False,5.073309956259899,5.426428000375486,0.012988861989581386,0.04889624708372372,0.11396868863675402,0.2211249580751203,0.598981262735906,0.401018737264094,0.401018737264094,2.007436552607744,2,6,-85.02683318583978,-1100.5931900547002,1015.5663568688605,1015.5663568688605,133.96580505371094,173.58676147460938,294.2832336425781,538.777099609375,10.0,0.1,2.0,1192,0.05735051,False
113,11325,ok,True,True,20260908,5,analysis_activations,positive,False,4.914720176405467,5.439102306925565,0.026749233334175736,0.08793218548420946,0.16355192855535436,0.29653361611157925,0.6168786945421193,0.38312130545788065,0.38312130545788065,2.189860010394757,2,6,7681.025865717074,5320.534428231911,2360.4914374851633,2360.4914374851633,105.73385620117188,153.99264526367188,320.1903442382812,729.5310668945312,10.0,0.1,2.0,1690,0.11518664,False
117,45041,ok,True,True,20260908,5,analysis_activations,positive,False,5.0713708417416505,6.011499185023873,0.10647447797774315,0.17598114898439904,0.32630427208012946,0.41950107149374366,0.548241862936533,0.451758137063467,0.451758137063467,2.5016527648127767,2,4,81421.00784246274,77163.53734875126,4257.4704937114875,4257.4704937114875,92.3421630859375,229.244873046875,703.6348876953125,1569.31298828125,10.0,0.1,2.0,3209,0.35678333,False
118,17164,ok,True,True,20260908,5,analysis_activations,positive,False,4.841912542874356,5.20629481831279,0.012912252224832664,0.04947708935587792,0.1136320915271415,0.22243446081009552,0.6006605433857811,0.3993394566142188,0.3993394566142188,2.063084613845835,2,7,255.75194874605657,-3576.5654506330334,3832.31739937909,3832.31739937909,106.22372436523438,138.05938720703125,235.00895385742183,547.6353149414062,10.0,0.1,2.0,4055,0.059364833,False
137,26903,ok,True,True,20260908,5,analysis_activations,positive,False,5.289524896293458,6.413617333168375,0.18776526291575127,0.2036055220907624,0.43331889286731,0.4512266859248934,0.46638636988318133,0.5336136301168186,0.46638636988318133,2.541106235825463,2,4,58288.93361059615,56575.40576620685,1713.5278443892967,1713.5278443892967,91.0091552734375,367.3726806640625,1109.0190917968746,2050.030517578125,10.0,0.1,2.0,2917,0.5107019,False
155,29019,ok,True,True,20260908,5,analysis_activations,positive,False,5.178501828645311,6.0344626870814215,0.08588265268891061,0.137639484892197,0.29305742216997444,0.37099795807011793,0.5317675126816114,0.4682324873183886,0.4682324873183886,2.5604047984737064,2,4,46704.46081957288,43973.040192833934,2731.4206267389454,2731.4206267389454,109.4921875,252.89141845703125,680.9497314453124,1239.9066162109375,10.0,0.1,2.0,3636,0.29255256,False
161,96002,ok,True,True,20260908,5,analysis_activations,positive,False,5.056156720042234,5.784488845219529,0.058301645597775585,0.11475355480330607,0.24145733701375816,0.33875294065632267,0.5609964570630424,0.4390035429369577,0.4390035429369577,2.4760085310680844,2,4,124328.15911440997,113068.27571464564,11259.883399764323,11259.883399764323,105.88526916503906,202.87156677246094,499.8628875732422,1119.988525390625,10.0,0.1,2.0,2808,0.21372548,False
165,2437,ok,True,True,20260908,5,analysis_activations,positive,False,4.950310421965777,5.608844328707352,0.03609368558253666,0.17643106533808742,0.1899833823852409,0.42003698091726094,0.5971014839486511,0.40289851605134896,0.40289851605134896,2.0201721554885927,2,10,2972.0039225634728,2297.3580401131107,674.645882450362,674.645882450362,105.92449951171875,162.52536010742188,436.6820312499995,1204.2760009765625,10.0,0.1,2.0,532,0.19704269,False
168,30467,ok,True,False,20260908,5,analysis_activations,positive,False,4.940359669862176,5.21539207254632,0.006642298932021417,0.03241042705203577,0.08150030019589755,0.1800289617034875,0.6224485661545788,0.3775514338454212,0.3775514338454212,1.968217928974688,2,9,-16407.58817480276,-25400.852099160005,8993.263924357245,8993.263924357245,123.50334930419922,146.90280151367188,223.65648803710934,398.2059020996094,10.0,0.1,2.0,3594,0.034147788,False
172,974,ok,True,True,20260908,5,analysis_activations,positive,False,4.901932493754732,5.231698676589354,0.006810541857519611,0.042349062164413864,0.0825260071584686,0.2057888776499203,0.536999465518733,0.46300053448126705,0.46300053448126705,2.103376061885539,2,13,-134.1333214264843,-419.678707500129,285.54538607364475,285.54538607364475,117.78294372558594,146.43598175048828,247.29864501953114,364.7466125488281,10.0,0.1,2.0,468,0.050353106,False
175,20243,ok,True,True,20260908,5,analysis_activations,positive,False,5.330074370864679,6.294188516764215,0.12622781332993396,0.09925641676337435,0.3552855377438462,0.31504986393168677,0.4328621960019453,0.5671378039980547,0.4328621960019453,2.8713449258493897,2,4,35576.144581085035,32925.18504245012,2650.9595386349174,2650.9595386349174,109.7593994140625,380.45269775390625,828.1520263671872,1356.2132568359375,10.0,0.1,2.0,3438,0.33913556,False
184,19463,ok,True,True,20260908,5,analysis_activations,positive,False,5.306217399773701,6.507296411027195,0.22254113779471404,0.14383691254034556,0.47174266056263564,0.37925837174721083,0.38780545932845134,0.6121945406715487,0.38780545932845134,2.806220881735423,2,4,42407.60166664668,39417.35300532414,2990.248661322541,2990.248661322541,84.94873046875,474.6244812011719,1117.8370727539059,1739.5,10.0,0.1,2.0,3272,0.5168719,False
204,23027,ok,True,True,20260908,5,analysis_activations,positive,False,5.414667652488781,6.096570320014968,0.05634584050306783,0.10870451953612457,0.2373727880424962,0.3297036844442667,0.5333180909011298,0.46668190909887025,0.46668190909887025,2.3737181426373968,2,5,27902.1431148543,25741.20248313508,2160.9406317192224,2160.9406317192224,152.80747985839844,295.5428771972656,684.9674316406255,1529.62451171875,10.0,0.1,2.0,1720,0.19651742,False
213,1745,ok,True,True,20260908,5,analysis_activations,positive,False,5.055490655863205,6.0778941732819645,0.13365553987467987,0.1433997914466213,0.3655893049238173,0.3786816492076442,0.5122750219285839,0.48772497807141624,0.48772497807141624,2.7469710151739717,2,4,3366.2499412277402,3225.784418945812,140.46552228192832,140.46552228192832,79.00830078125,254.12234497070312,708.8062866210937,1317.384521484375,10.0,0.1,2.0,510,0.39980322,False
226,3362,ok,True,True,20260908,5,analysis_activations,positive,False,5.269515146521541,5.87217233622572,0.028638901113535183,0.1299252453028731,0.16923031972295977,0.36045144652625977,0.5445640945123186,0.4554359054876814,0.4554359054876814,2.140340369495723,2,10,3496.338366396399,2723.986904822032,772.351461574367,772.351461574367,146.69911193847656,229.1396713256836,561.8963012695309,1234.1796875,10.0,0.1,2.0,405,0.16489457,False
227,17388,ok,True,True,20260908,5,analysis_activations,positive,False,5.0796585718026765,5.793837228348195,0.05782532765000039,0.14815014676140406,0.24046897440210532,0.38490277572577214,0.5839839300670947,0.41601606993290535,0.41601606993290535,2.225430874558292,2,5,22982.747150999938,20564.356484836793,2418.3906661631445,2418.3906661631445,110.09320068359375,199.18536376953125,518.4300842285155,1356.023681640625,10.0,0.1,2.0,3820,0.21932799,False
236,3498,ok,True,False,20260908,5,analysis_activations,positive,False,4.911550770208224,5.597956405720931,0.042699568914846504,0.19451818129782117,0.2066387401114479,0.44104215365180366,0.628920364725301,0.3710796352746989,0.3710796352746989,1.9930685995448936,2,7,4467.250002371704,3511.5680207847063,955.6819815869976,955.6819815869976,98.84024047851562,154.67027282714844,437.777569580078,1000.9243774414062,10.0,0.1,2.0,1031,0.20905215,False
238,23719,ok,True,True,20260908,5,analysis_activations,positive,False,5.289966049011925,6.572844793834758,0.18303505383427765,0.2288947716493702,0.4278259620853761,0.4784294845109049,0.5045488035586394,0.49545119644136065,0.49545119644136065,2.8267603341375884,2,4,55884.54496911876,53208.86448096072,2675.680488158039,2675.680488158039,96.202392578125,364.9141845703125,1352.526831054686,2248.73193359375,10.0,0.1,2.0,4347,0.61719203,False
241,56913,ok,True,True,20260908,5,analysis_activations,positive,False,4.976858858898151,5.450091186165506,0.0224677269926115,0.07348511022394756,0.14989238470519942,0.27108137196042736,0.597150396165833,0.402849603834167,0.402849603834167,2.16053094847517,2,6,28690.39274716304,17623.38875174119,11067.003995421852,11067.003995421852,114.97222900390625,163.70945739746094,318.5672485351562,779.304931640625,10.0,0.1,2.0,2250,0.09689308,False
268,17802,ok,True,True,20260908,5,analysis_activations,positive,False,5.057128655089554,5.850888325922566,0.0713653612241406,0.1437871386954081,0.2671429602743456,0.37919274610072395,0.5480450198425357,0.45195498015746416,0.45195498015746416,2.420086166016238,2,5,26569.464671140177,24611.262374377908,1958.2022967622688,1958.2022967622688,102.81817626953125,210.88682556152344,564.2446777343755,1182.05908203125,10.0,0.1,2.0,3401,0.2601695,False
271,57014,ok,True,True,20260908,5,analysis_activations,positive,False,5.272003312375706,6.232536529816026,0.11765791842576341,0.16291660799121144,0.3430130003742765,0.4036292952589188,0.5083513085161523,0.49164869148384777,0.49164869148384777,2.56450332754566,2,4,105211.31407592958,100685.91337821208,4525.400697717501,4525.400697717501,108.86846923828125,304.24542236328125,876.2700012207031,1774.5028076171875,10.0,0.1,2.0,5075,0.370508,False
