feature_id,conjunction_p,q_by,cross_source_cosine
72,0.2176,1.0,0.8506375090644741
296,1.0,1.0,0.7435836568652902
575,0.4086,1.0,0.9603371714638211
665,0.0366,0.8292004158346702,0.19657551096008755
710,1.0,1.0,
802,0.8816,1.0,-0.8818512660322545
863,0.0016,0.04833226467524489,0.9866774378227674
1076,1.0,1.0,
1635,0.3616,1.0,0.08953984159379173
1645,0.0002,0.009062299626608417,0.6344771128961232
1844,1.0,1.0,0.738398024812173
1892,0.5122,1.0,0.8365030343847958
1903,1.0,1.0,
2286,0.1918,1.0,0.9743219752339665
2377,0.3836,1.0,-0.007094161167814674
3136,0.7508,1.0,0.7660081640129733
6756,0.4996,1.0,0.5873888345750987
7511,1.0,1.0,
8532,0.9782,1.0,0.236166511591968
10392,0.4162,1.0,-0.35060506352769283
12335,0.4678,1.0,0.9964565895519341
17857,1.0,1.0,
28027,0.0002,0.009062299626608417,0.9979039944128357
35053,0.873,1.0,0.18966302621268522
