feature_id,source,binary_native_cosine,binary_native_orthogonal_cosine,decoder_low_neighbor_jaccard,decoder_high_neighbor_jaccard,decoder_neighbor_ids
87,fineweb-edu-sample,0.6847631533839896,0.8875728512636424,0.0,0.0,"[272, 1126, 1385, 1500, 1501, 1582, 1871, 1995, 6421, 6885, 10993, 12706, 12775, 17210, 31784, 39787, 45557, 45781, 53484, 64840]"
87,wikimedia-en,0.9067005681444643,0.9391490948631827,0.0,0.0,"[272, 1126, 1385, 1500, 1501, 1582, 1871, 1995, 6421, 6885, 10993, 12706, 12775, 17210, 31784, 39787, 45557, 45781, 53484, 64840]"
129,fineweb-edu-sample,0.7662900630691323,0.8295686474711832,0.0,0.0,"[272, 399, 459, 762, 994, 1385, 1582, 6421, 6885, 17210, 20151, 31784, 39787, 45557, 45781, 50720, 53484, 53518, 60428, 64840]"
129,wikimedia-en,0.9556302426986133,0.9652329914378733,0.0,0.0,"[272, 399, 459, 762, 994, 1385, 1582, 6421, 6885, 17210, 20151, 31784, 39787, 45557, 45781, 50720, 53484, 53518, 60428, 64840]"
141,fineweb-edu-sample,0.9476239687871985,0.9489667511945625,0.0,0.0,"[399, 1363, 1445, 1603, 4316, 6174, 6421, 6885, 12706, 12775, 17210, 31784, 39787, 45557, 45781, 50720, 53484, 53518, 60428, 64840]"
141,wikimedia-en,0.9737592303533024,0.9771787513632575,0.0,0.0,"[399, 1363, 1445, 1603, 4316, 6174, 6421, 6885, 12706, 12775, 17210, 31784, 39787, 45557, 45781, 50720, 53484, 53518, 60428, 64840]"
157,fineweb-edu-sample,0.9621389801755337,0.9601591269813962,0.05263157894736842,0.21212121212121213,"[578, 599, 624, 744, 867, 1079, 1147, 1340, 1371, 1501, 1539, 1599, 1871, 2065, 2618, 4172, 7258, 20315, 23679, 31784]"
157,wikimedia-en,0.9381559191383572,0.9316922532294986,0.02564102564102564,0.02564102564102564,"[578, 599, 624, 744, 867, 1079, 1147, 1340, 1371, 1501, 1539, 1599, 1871, 2065, 2618, 4172, 7258, 20315, 23679, 31784]"
252,fineweb-edu-sample,0.9687339970126186,0.975964721080565,0.0,0.0,"[19, 1073, 1385, 1950, 1997, 2150, 4316, 7766, 14099, 17210, 20151, 33575, 39787, 45557, 45781, 45886, 50720, 53484, 60428, 64840]"
252,wikimedia-en,0.9528426048128317,0.9512942446263838,0.0,0.0,"[19, 1073, 1385, 1950, 1997, 2150, 4316, 7766, 14099, 17210, 20151, 33575, 39787, 45557, 45781, 45886, 50720, 53484, 60428, 64840]"
