,feature_id,decoder_norm,raw_pr,raw_entropy_dim,raw_n90,pca_pr,pca_entropy_dim,pca_n90,white_0.0001_pr,white_0.0001_entropy_dim,white_0.0001_n90,white_0.001_pr,white_0.001_entropy_dim,white_0.001_n90,white_0.01_pr,white_0.01_entropy_dim,white_0.01_n90,pc_head_1,pc_head_5,pc_head_20,pc_head_64,pc_tail_quarter
count,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0
mean,32767.5,1.0000000177023112,587.4965228021964,1004.1434206940713,1003.0953979492188,615.5601907963835,1038.5161748976502,1035.2961883544922,672.9668851772067,1062.1396478280353,1025.920425415039,730.5517467580789,1115.0117197513882,1057.6329803466797,717.4679709158747,1105.9387206023337,1055.395523071289,0.03350355136268174,0.03697938431171788,0.04672446480478545,0.07350748202718532,0.11735589634774768
std,18918.757957822356,6.552107271099672e-08,224.2181426001452,230.57171611205908,115.8098759196522,228.5988712314187,231.67988478015548,120.40147254286947,54.193277156143736,51.34881736114023,36.05740699283454,83.71038633813528,81.15900281526979,53.4504293261699,121.01101022025338,114.7420836288783,68.31008389362746,0.10484125258246264,0.10670026888857768,0.1095088677304014,0.11365840268614753,0.039616418641217684
min,0.0,0.9999994145664579,1.027291149453504,1.168732910393733,1.0,1.0482254458683948,1.2677210037348141,1.0,57.75894607090847,590.0382988051223,681.0,96.59462244456117,318.73696794970374,487.0,8.354761835367674,86.25409346344952,274.0,1.5624833700616828e-12,3.3207185918934233e-06,0.0006784133999208239,0.0032644062411205637,0.0016161143093031878
5%,3276.75,0.9999999114328008,40.501603864703064,479.56009566707723,864.0,45.84830535731105,517.4066646471549,862.0,593.151960422722,988.1848918359824,973.0,561.5413309656885,955.849312914348,955.0,462.7365491679176,884.7456843091587,927.0,3.104535770194313e-05,0.0009198661891417239,0.005001481773747054,0.019190850799605905,0.0486854646571226
25%,16383.75,0.9999999751614261,530.3539933994247,1004.9233781828375,984.0,536.9715130785773,1022.1354161404261,1025.0,637.1996094317295,1027.702323935578,1002.0,704.1480980315084,1092.2889618673657,1040.0,690.0903665592707,1083.235434995389,1038.0,0.0008586971635533104,0.0029802150795436412,0.009303339996091202,0.02840534462184002,0.09212491628362163
50%,32767.5,1.0000000182674018,670.6086602777784,1060.3805506787612,1015.0,712.196009306504,1117.1984564702227,1067.0,668.8433342592449,1056.6227192043873,1023.0,751.1437875702476,1135.6916192346134,1070.0,754.67145397188,1140.1248488122283,1073.0,0.004662808011850113,0.007703602212539438,0.016286807084910128,0.040145440183673345,0.1225612254030507
75%,49151.25,1.0000000604076678,716.6766919575857,1100.849192627578,1047.0,773.8309366052779,1160.7404698260123,1091.0,706.4230955076374,1095.0128083889626,1049.0,782.597800187051,1163.259521206885,1090.0,789.5943909698602,1170.5748520973427,1095.0,0.018658488925389835,0.022599503908737762,0.03425376317762373,0.06721325689201325,0.1419917120936028
95%,62258.25,1.0000001219409103,781.7535019149183,1171.0103066268825,1100.0,820.2207248290135,1199.6824431058014,1119.0,767.944652144924,1152.7983461336091,1089.0,820.6702726519891,1198.1506726710893,1116.0,828.7730570390679,1205.8526511660518,1122.0,0.141749056711265,0.1508928830325651,0.17692174383639556,0.2341087695739692,0.17262295068645123
max,65535.0,1.0000006033823843,1511.3389382552793,1773.7469998748559,1503.0,927.9434849578497,1289.435665503493,1177.0,883.9916174346025,1256.112873730733,1165.0,931.9227129254776,1286.5243385585175,1176.0,938.2036817480988,1293.6264147141374,1185.0,0.9767178998806251,0.9804285840548791,0.9869749787693679,0.9890458514490389,0.5250308182017431
