feature_id,source,n_low,n_high,status,orthogonal_squared,total_squared,parallel_squared,p,null_mean,movable_fraction,tie_tolerance
87,fineweb-edu-sample,1886,1099,ok,353534.0106057976,1043695.8476830451,690161.8370772473,0.0002,338180.796847638,0.02747068676716918,3.535340106057976e-05
87,wikimedia-en,1666,783,ok,718488.5930689275,2199710.35084932,1481221.7577803936,0.002,649216.8086530146,0.06778276847692936,7.184885930689275e-05
129,fineweb-edu-sample,2064,881,ok,423198.8190071784,1094462.5483231405,671263.7293159617,0.269,390095.19404007256,0.30492359932088287,4.2319881900717844e-05
129,wikimedia-en,1798,380,ok,2646851.292349392,3990127.2815306024,1343275.9891812105,0.004,1848143.780529042,0.26721763085399447,0.00026468512923493923
141,fineweb-edu-sample,2031,648,ok,887897.6272380666,1565760.4993441727,677862.8721061058,0.0042,650147.7586303381,0.20865994774169466,8.878976272380667e-05
141,wikimedia-en,1707,276,ok,2533099.7108086636,3627305.7592571704,1094206.0484485063,0.0048,2083328.1598611153,0.0897629853756934,0.0002533099710808664
157,fineweb-edu-sample,1540,520,ok,1899330.7846191926,2498140.0993693336,598809.3147501411,0.208,1759945.06489135,0.17524271844660194,0.00018993307846191927
157,wikimedia-en,860,211,ok,2847488.8308727266,3471877.447181194,624388.6163084666,0.3962,2787977.9662135737,0.0915032679738562,0.00028474888308727266
252,fineweb-edu-sample,1405,418,ok,3314418.343255851,3317827.6098759193,3409.2666200683016,0.0002,2247220.9942706283,0.19967087218869994,0.0003314418343255851
252,wikimedia-en,1566,413,ok,1072595.6722536585,1889556.4918681935,816960.8196145351,0.0008,698795.5628370849,0.23799898938858008,0.00010725956722536585
839,fineweb-edu-sample,1749,1276,ok,489672.86004368577,1038883.978625249,549211.1185815632,0.0002,301537.8727706456,0.33289256198347106,4.896728600436858e-05
839,wikimedia-en,1967,854,ok,2315052.484781126,3013629.949157823,698577.4643766967,0.0002,1287860.3273697223,0.47997164126196384,0.0002315052484781126
905,fineweb-edu-sample,1850,1171,ok,409934.66705583094,1082627.3430323075,672692.6759764765,0.0004,342590.6657831033,0.03475670307845084,4.0993466705583094e-05
905,wikimedia-en,1716,772,ok,799327.1589200003,1894445.1251592296,1095117.96623923,0.0002,682606.3425018371,0.05305466237942122,7.993271589200004e-05
1199,fineweb-edu-sample,1816,1175,ok,464442.7791215412,1025850.646889861,561407.8677683199,0.0002,315724.8369168088,0.3316616516215313,4.644427791215412e-05
1199,wikimedia-en,1652,771,ok,888572.5543421678,1698729.4590274498,810156.904685282,0.002,614082.7661932501,0.387536112257532,8.885725543421678e-05
1247,fineweb-edu-sample,2000,565,ok,1783240.9349252288,2645517.933235566,862276.9983103372,0.2278,1672367.818796259,0.18791423001949317,0.00017832409349252288
1247,wikimedia-en,1894,962,ok,3996304.7543404363,5192720.475852778,1196415.7215123414,0.0082,3518189.3076467933,0.20553221288515405,0.00039963047543404364
1284,fineweb-edu-sample,1822,1126,ok,467801.4975031796,601931.2086179556,134129.711114776,0.0002,283098.5746926808,0.4559023066485753,4.678014975031796e-05
1284,wikimedia-en,1831,581,ok,705830.3527122594,1455059.456978852,749229.1042665927,0.0002,392660.1250069781,0.3959369817578773,7.058303527122595e-05
1772,fineweb-edu-sample,1021,161,ok,566740.0964019413,976057.6752869914,409317.57888505,0.3556,552557.8549705357,0.07529610829103214,5.6674009640194126e-05
1772,wikimedia-en,1074,212,ok,2219512.9374100687,3126199.9069600115,906686.969549943,0.1018,2021524.7036347052,0.07387247278382582,0.00022195129374100688
1827,fineweb-edu-sample,1698,1282,ok,905564.1845094517,1251504.5981843094,345940.4136748578,0.0002,654719.3264605409,0.31912751677852347,9.055641845094518e-05
1827,wikimedia-en,1586,821,ok,3043634.69717904,3732414.567984215,688779.8708051759,0.0144,2650542.2342430055,0.2912339011217283,0.000304363469717904
2193,fineweb-edu-sample,1740,480,ok,1078845.3882133232,1990832.2807999405,911986.892586617,0.1036,1036463.0941030895,0.027477477477477478,0.00010788453882133232
2193,wikimedia-en,1622,1027,ok,1272046.9595567875,2138247.4168061493,866200.457249362,0.025,1198438.3996582776,0.07097017742544356,0.00012720469595567876
2241,fineweb-edu-sample,1434,316,ok,937118.765569599,1329782.5186586222,392663.7530890233,0.0002,795534.0620445939,0.13485714285714287,9.371187655695991e-05
2241,wikimedia-en,1410,530,ok,4520815.55565975,5641774.347323832,1120958.791664083,0.0398,4089704.3391791433,0.22628865979381443,0.00045208155556597496
4714,fineweb-edu-sample,1915,1069,ok,574126.4652308711,1134021.3308144738,559894.8655836027,0.0018,499253.76356436237,0.04155495978552279,5.741264652308711e-05
4714,wikimedia-en,1899,920,ok,2580349.339076748,3254057.7342172344,673708.3951404849,0.4726,2576513.8029853804,0.0478893224547712,0.0002580349339076748
6629,fineweb-edu-sample,1540,492,ok,1089329.4215429877,1323658.6296076707,234329.2080646834,0.6234,1106626.2216799634,0.0344488188976378,0.00010893294215429877
6629,wikimedia-en,1568,478,ok,1631466.093761757,1893029.6884849255,261563.5947231683,0.039,1498301.9911412015,0.050342130987292275,0.0001631466093761757
6846,fineweb-edu-sample,2018,427,ok,159226.65994248912,204115.14518720983,44888.485244720694,0.6184,173820.48074574227,0.14151329243353783,1.5922665994248913e-05
6846,wikimedia-en,1664,222,ok,1392990.2003252602,1443059.0981157378,50068.89779047822,0.0372,1045131.0831422913,0.0816542948038176,0.00013929902003252602
6903,fineweb-edu-sample,1152,194,ok,288068.71827648673,332040.7965649661,43972.078288479424,0.087,264877.22968382225,0.04457652303120357,2.8806871827648674e-05
6903,wikimedia-en,1194,143,ok,2191938.1492390027,2229947.1678751535,38009.0186361503,0.4422,2149708.9208504804,0.02916978309648467,0.0002191938149239003
7122,fineweb-edu-sample,1935,732,ok,1124560.9433915894,1423158.6191758616,298597.6757842724,0.034,827069.0068264068,0.4289463817022872,0.00011245609433915894
7122,wikimedia-en,1470,594,ok,2859734.7866701614,3182339.865722326,322605.0790521654,0.3196,2685298.8408936365,0.46656976744186046,0.00028597347866701615
11908,fineweb-edu-sample,1597,1128,ok,6492214.116344746,6655166.5060281055,162952.38968336105,0.4102,6466620.622105681,0.02091743119266055,0.0006492214116344746
11908,wikimedia-en,1270,1512,ok,6019851.806746296,6224161.058393105,204309.25164680812,0.0484,5856597.019280012,0.027677929547088427,0.0006019851806746296
14064,fineweb-edu-sample,1892,538,ok,214109.23769381645,265185.574225612,51076.33653179552,0.9152,285795.16131727846,0.20041152263374484,2.1410923769381647e-05
14064,wikimedia-en,1754,557,ok,177960.5044756086,222848.4547651662,44887.9502895576,0.0462,148398.7073328472,0.27953266983989616,1.7796050447560863e-05
21515,fineweb-edu-sample,1732,423,ok,2333650.9062229795,2353409.4854342043,19758.57921122477,0.3594,2280757.2382110283,0.03665893271461717,0.00023336509062229797
21515,wikimedia-en,1740,609,ok,447139.4423926993,467244.4618011298,20105.019408430577,0.1734,399182.16189045185,0.10855683269476372,4.4713944239269934e-05
25249,fineweb-edu-sample,1922,691,ok,7799722.304111926,8054999.966918264,255277.66280634006,0.0018,7404119.822727157,0.022962112514351322,0.0007799722304111926
25249,wikimedia-en,1550,979,ok,8906504.989383804,9244581.834371433,338076.8449876274,0.0124,8595510.181586951,0.03242388295769079,0.0008906504989383804
34492,fineweb-edu-sample,1934,836,ok,388395.6219041217,466993.20348013076,78597.58157600903,0.9682,426519.79837505723,0.02454873646209386,3.8839562190412176e-05
34492,wikimedia-en,1940,780,ok,250480.1841484874,304128.1969463523,53648.012797864925,0.38,246627.37092756835,0.034926470588235295,2.5048018414848742e-05
