feature_id,source,level,n,activation_mean,pc1_mean,pc2_mean,pc3_mean,pc4_mean,pc5_mean,pc6_mean,pc7_mean,pc8_mean
261,fineweb-edu-sample,0,50,313.6512225341797,5802.49379471852,-546.5149263224847,690.3085020155428,305.80810028082675,85.41796733287705,36.741439368689086,293.438828025831,-184.158126154788
261,fineweb-edu-sample,1,49,352.68921334402904,6100.668809489956,-716.4800706012237,575.1524636676063,240.1900082799565,136.04596639350558,-125.61586126394118,400.4813608263047,-32.59530782762434
261,fineweb-edu-sample,2,51,434.46226531384036,8033.009841239941,-656.8513474165705,628.6893323155208,251.20417978283228,283.17092230150183,-81.86098808566341,235.200319794399,-119.45012727928253
261,fineweb-edu-sample,3,45,650.2119262695312,8219.692925533407,-733.9742549412059,592.4632454735915,135.65577195826268,202.0687030343541,-271.64048077729757,362.6275115987059,-223.26403885788474
261,wikimedia-en,0,46,313.4750691289487,6146.5808854063935,-971.789871459335,-236.6584659837085,-89.53982020820547,-105.6496491980292,430.9291687913645,520.7384186360415,-534.4416953669366
261,wikimedia-en,1,62,352.8183199974798,6751.261176080086,-1054.9991338741504,-58.60861903453945,-63.56325502575743,-105.60973959103069,285.09044438300015,479.14323446129544,-536.1007330785936
261,wikimedia-en,2,57,430.9366390830592,6183.872964679762,-1130.590656653727,-3.996081703467828,-26.281430135401866,-30.09391874812454,152.82191641160634,436.43277468730196,-262.74668062182684
261,wikimedia-en,3,42,622.6904267810639,7388.350509382446,-885.1270436354839,243.22570055763174,209.04572548739765,-65.0363274307311,-79.08384437720882,415.65199437255814,-130.53365997696181
583,fineweb-edu-sample,0,804,226.18223822294777,-3245.7947359726804,764.4680448755113,28.366394534839927,-13.079551985605686,-35.051053964151464,-324.69461776902585,316.89121452174146,-99.42082638855281
583,fineweb-edu-sample,1,721,338.5352117826803,-2929.686565298467,826.1049925864784,-13.541166183946027,37.109482037800205,-90.8570456169228,-408.4762218826189,374.7276974648875,-129.07932080840632
583,fineweb-edu-sample,2,609,622.136315356726,-3065.153018322033,941.5339800635126,-41.85585647922338,93.8977801259695,-185.6380374031848,-529.747381882314,306.1385278567159,-203.2850152826968
583,fineweb-edu-sample,3,544,1760.1724187065574,-2911.4671481643504,1351.4945686507263,-191.15906507177414,123.58104509270962,-181.84275923182182,-695.4728319555932,466.21347370869154,-288.9068520954846
583,wikimedia-en,0,538,226.34447414015307,-609.5050469579652,416.66986459553607,-704.1908414993522,-85.56793004318784,-203.77880452446644,-147.20698517493517,104.49642576897345,-260.37689927389295
583,wikimedia-en,1,554,338.67009451415134,-505.93003243773575,476.8475711803731,-743.1540440906656,-33.13048994376215,-307.0802718699289,-213.80795808877144,151.42410014984526,-322.79704533963735
583,wikimedia-en,2,508,627.7665176992341,448.33104173677475,485.3937453338229,-787.5136767066859,-3.713688939999497,-398.17611391065276,-268.07059437565164,71.2625617875662,-412.9946082430442
583,wikimedia-en,3,428,1479.3772902444143,209.0910188253254,921.5655554998496,-962.0003323189461,45.4320902133172,-353.71111648733506,-475.89281025427334,48.33603354520778,-446.8498687038457
1284,fineweb-edu-sample,0,773,221.5024050062409,-5252.105479466233,-364.6363113347568,457.571153839003,-34.447119862907975,119.26674969873451,58.99824535092141,-175.4472030093114,-70.52231335267292
1284,fineweb-edu-sample,1,744,298.81356614635837,-5393.492981679073,-363.56258979123663,535.4995569236221,-104.32550491146934,119.19410254406394,29.2896685678613,-178.94786545071352,-127.07592504751406
1284,fineweb-edu-sample,2,764,421.94395998011083,-5514.111091988913,-348.54419720821966,584.7328682866,-85.02537015880735,119.71748483979704,36.92941499469124,-198.13400126527503,-149.43090407957055
1284,fineweb-edu-sample,3,698,773.5832837823469,-5441.692856151159,-408.0370383710438,679.5520212074651,-111.01109477145317,116.5515918321089,51.313092513944,-188.95239416726486,-187.06385467714009
1284,wikimedia-en,0,811,220.57828582876562,-3274.79005932881,-819.1038630570742,-521.5908822287016,-229.85052741289493,16.52406961219732,209.45061475476,-314.77968612942493,-152.62999046687253
1284,wikimedia-en,1,716,296.3434601682524,-3834.825236186473,-864.2354777062321,-433.78566328056996,-272.84498711711234,14.28952243169412,204.510720040595,-314.77042363337245,-159.23892542746106
1284,wikimedia-en,2,581,420.3941421377474,-4247.126895893361,-806.4869125765091,-284.23937096596217,-339.96848323197065,9.656299378910182,199.35558840519403,-332.0004984282229,-216.8362699120742
1284,wikimedia-en,3,374,727.6659604648855,-4392.255338870255,-799.6798203521478,-19.901775925775123,-407.9914997181613,-13.861558946996812,204.38181770598024,-371.708253936806,-210.10189694602207
2366,fineweb-edu-sample,0,270,233.00684362340857,-2237.6628643631043,500.9867533520546,391.7024236254068,-58.196766191886205,-167.38866533684657,-14.113168316324348,75.4430855017894,114.01014463263698
2366,fineweb-edu-sample,1,215,301.1792934683866,-3389.145240711174,405.15958468121244,485.3959243213608,-154.53798352650594,-219.00713271777875,87.54455489076406,75.62718049090577,170.05211929452082
