feature_id,control_id,match_status,match_distance,log_support_gap,log_documents_gap,control_definition
141,,no_control_within_caliper,,,,prespecified_converged_separation_below_2
1247,4729.0,matched,0.1235372234244403,0.10791387835015144,0.060133521690059005,prespecified_converged_separation_below_2
4714,8236.0,matched,0.25667284794825673,-0.22949198219125785,-0.11495382109262964,prespecified_converged_separation_below_2
129,12990.0,matched,0.3375920579948645,-0.3194114031221574,0.10929205449959592,prespecified_converged_separation_below_2
839,,no_control_within_caliper,,,,prespecified_converged_separation_below_2
1199,,no_control_within_caliper,,,,prespecified_converged_separation_below_2
1827,4922.0,matched,0.2534005720418678,-0.22327331101990563,-0.11983688287565859,prespecified_converged_separation_below_2
905,,no_control_within_caliper,,,,prespecified_converged_separation_below_2
2193,1392.0,matched,0.33735518270914217,-0.32310486202934235,-0.0970142640734771,prespecified_converged_separation_below_2
6846,11191.0,matched,0.08053346285836832,-0.006606450279196905,0.08026202996852677,prespecified_converged_separation_below_2
1284,,no_control_within_caliper,,,,prespecified_converged_separation_below_2
7122,2780.0,matched,0.0736327784652487,-0.024621204057021374,-0.0693943972903786,prespecified_converged_separation_below_2
87,,no_control_within_caliper,,,,prespecified_converged_separation_below_2
14064,1766.0,matched,0.1404732911109998,0.09831636810448116,-0.10033263316737907,prespecified_converged_separation_below_2
34492,9349.0,matched,0.18939855950985457,0.18697603542767244,-0.030195637435856605,prespecified_converged_separation_below_2
6629,28540.0,matched,0.04546824623766414,0.045447932022545524,-0.0013590036066694312,prespecified_converged_separation_below_2
252,,no_control_within_caliper,,,,prespecified_converged_separation_below_2
21515,15066.0,matched,0.11109588248080422,-0.10288329523798521,0.04192043254979881,prespecified_converged_separation_below_2
1772,,no_control_within_caliper,,,,prespecified_converged_separation_below_2
2241,1702.0,matched,0.10628516987153235,-0.08969215460920395,-0.05702503604715338,prespecified_converged_separation_below_2
25249,11119.0,matched,0.056265731510222086,0.04833505831550454,-0.028801990903706193,prespecified_converged_separation_below_2
11908,9355.0,matched,0.3241050765465893,-0.30099772457829077,-0.1201851506716281,prespecified_converged_separation_below_2
6903,,no_control_within_caliper,,,,prespecified_converged_separation_below_2
157,18562.0,matched,0.29708774816576966,-0.03987728612868869,0.2943992733707379,prespecified_converged_separation_below_2
