feature_id,source,n_low,n_high,documents_low,documents_high,assignment_rate,token_identity_p,token_identity_null_mean,token_identity_null_p95,token_identity_movable_fraction,js_ci_low,js_ci_high,js_bootstrap_se,js_bootstrap_bias,js_bootstrap_percentile_low,js_bootstrap_percentile_high,bootstrap_valid,null_excess,null_excess_kind,js_bits,neighbor_jaccard,shared_rank_spearman,shared_neighbors,cosine,conditional_l1,conditional_mass_change,status,partner_count
87,fineweb-edu-sample,1886,1099,1886,1099,1.0,0.0001,0.05070582560251818,0.05117623474326439,0.02747068676716918,0.047827488656171806,0.05605289502343553,0.0020983179508325834,0.019021607896388543,0.06697195925287056,0.07507302129624795,1000,0.0012343662372854905,token_identity,0.05194019183980367,0.6,0.9535714285714283,15,0.9602532636311779,21.80656376132935,1.2772037049009128,ok,3911
87,wikimedia-en,1666,783,1666,783,1.0,0.0001,0.0561031163942976,0.05712781119177032,0.06778276847692936,0.05432614917842285,0.06686602246697516,0.003198947267487837,0.0202570808026424,0.07474875330566587,0.08694445258618229,1000,0.004492969428401404,token_identity,0.06059608582269901,0.5384615384615384,0.9868131868131869,14,0.9551005525266233,23.07538264347885,1.1609187736397288,ok,3153
129,fineweb-edu-sample,2064,881,2064,881,1.0,0.0001,0.04706918254812462,0.048529364776463496,0.30492359932088287,0.05159861909963188,0.062208273373413066,0.0027065444575972426,0.02636989886610048,0.07816049617441391,0.08860804615202952,1000,0.009834263688397848,token_identity,0.05690344623652247,0.48148148148148145,0.5557089163595367,13,0.918080567442648,21.879670080687028,2.0897852158839925,ok,4517
129,wikimedia-en,1798,380,1798,380,1.0,0.0001,0.0750883418273357,0.07840672581014915,0.26721763085399447,0.0809065425931718,0.10207831503112615,0.005400962356621006,0.0393922219607562,0.12052619534640485,0.1423746905817645,1000,0.01640408698481327,token_identity,0.09149242881214897,0.2903225806451613,0.6666666666666667,9,0.8951682536043891,26.395600374685323,2.108737778818565,ok,3400
141,fineweb-edu-sample,2031,648,2031,648,1.0,0.0001,0.04095743891804948,0.041907465576645604,0.20865994774169466,0.03920177586858649,0.04947310917984882,0.002620238089607736,0.03157075589337655,0.07078624184880752,0.08141810859063466,1000,0.0033800036061681707,token_identity,0.04433744252421765,0.6,0.5831842576028622,15,0.9487380387503328,18.85418604227073,1.2946687455550077,ok,4157
141,wikimedia-en,1707,276,1707,276,1.0,0.0001,0.0786006204669591,0.08113810833638609,0.0897629853756934,0.07481966148958742,0.09702381173408221,0.005664324041962955,0.04861998982089007,0.12367767752904205,0.14594755445435992,1000,0.007321116144875711,token_identity,0.08592173661183482,0.48148148148148145,0.6483516483516483,13,0.9102851868181561,24.865738264435443,1.2309734851379233,ok,3148
157,fineweb-edu-sample,1540,520,1540,520,1.0,0.0001,0.055494666220753996,0.05721100488273467,0.17524271844660194,0.05611984374809305,0.06989594001806139,0.0035143102729511084,0.031681824138539594,0.0881393815691652,0.1020348086395145,1000,0.007513225662323222,token_identity,0.06300789188307722,0.3793103448275862,0.4100238428203847,11,0.9101827021456813,22.513061938061938,3.843281718281716,ok,3246
157,wikimedia-en,860,211,860,211,1.0,0.0002,0.09264981669382102,0.09627874353331474,0.0915032679738562,0.08416611020086422,0.11464359924642654,0.007774869654480188,0.04227695168343662,0.12764880947964788,0.15756236370674212,1000,0.006755038029824356,token_identity,0.09940485472364538,0.3793103448275862,0.5727272727272729,11,0.8866251384149192,23.860779235093133,4.349592196627356,ok,1721
252,fineweb-edu-sample,1405,418,1405,418,1.0,0.0001,0.07359102764571189,0.07687070566423383,0.19967087218869994,0.08310429109839913,0.1070678368259425,0.006113149420291671,0.0337677844096709,0.11764658801266635,0.14197973744525336,1000,0.021495036316458924,token_identity,0.09508606396217081,0.3333333333333333,-0.006060606060606061,10,0.8487770726196477,27.680086499003895,4.997187079636973,ok,2888
252,wikimedia-en,1566,413,1566,413,1.0,0.0001,0.061534051196843104,0.06401309513935852,0.23799898938858008,0.07134191296684146,0.08897145203502287,0.004497331394944236,0.03250911535553343,0.10413486819718339,0.12225710121456453,1000,0.01862263130408906,token_identity,0.08015668250093216,0.42857142857142855,0.5614035087719299,12,0.909778647495889,25.721093515658097,3.4457293145194967,ok,2932
839,fineweb-edu-sample,1749,1276,1749,1276,1.0,0.0001,0.04856020683079678,0.05022777044462363,0.33289256198347106,0.06143673861580971,0.07187206008008244,0.002662071802110389,0.024070614755631964,0.08572888492904664,0.09618595586059672,1000,0.018094192517149298,token_identity,0.06665439934794608,0.25,0.7857142857142858,8,0.8537132707845239,20.71948009700124,-0.3602600500778763,ok,4333
839,wikimedia-en,1967,854,1967,854,1.0,0.0001,0.09471360525365219,0.09831076291991014,0.47997164126196384,0.13607004275233897,0.16132479096831615,0.006442537810198263,0.02379075269943548,0.16002983679247956,0.1852718864636682,1000,0.05398381160667537,token_identity,0.14869741686032756,0.21212121212121213,0.3571428571428572,7,0.7383538380861793,31.303145340745246,-0.3132547692666634,ok,3293
905,fineweb-edu-sample,1850,1171,1850,1171,1.0,0.0001,0.046384494878872425,0.046966718300081166,0.03475670307845084,0.04430266584264042,0.051825206107165164,0.0019190153736032523,0.020422572809069457,0.06476369544178669,0.07259562194381261,1000,0.001679441096030368,token_identity,0.04806393597490279,0.6666666666666666,0.85,16,0.9491143788083827,20.40064255545041,2.7803337410852365,ok,4304
905,wikimedia-en,1716,772,1716,772,1.0,0.0001,0.054667897442815645,0.05578867342460356,0.05305466237942122,0.05347707306520144,0.06415945876940018,0.0027250983939282494,0.022647624847223297,0.07626956773858605,0.08704858253332923,1000,0.004150368474485168,token_identity,0.05881826591730081,0.8181818181818182,0.8617131062951496,18,0.950076333268555,22.051901035061654,1.5419550225249736,ok,3468
1199,fineweb-edu-sample,1816,1175,1816,1175,1.0,0.0001,0.04203297113224921,0.04324572645260304,0.3316616516215313,0.0468987601107723,0.055724503125740295,0.0022514650548387735,0.021102609768336465,0.0681542424483158,0.07734203099134711,1000,0.00927866048600709,token_identity,0.0513116316182563,0.6666666666666666,0.7284770184102595,16,0.9256372179718197,21.01511247539601,3.815684225325711,ok,4291
1199,wikimedia-en,1652,771,1652,771,1.0,0.0001,0.0568051370433039,0.05902421169819304,0.387536112257532,0.07065239489964834,0.08462692285097972,0.0035649305998294327,0.023101156627816838,0.09404027055104011,0.1079024655169283,1000,0.02083452183201013,token_identity,0.07763965887531403,0.42857142857142855,0.22377622377622378,12,0.9050195976990522,23.740997823649675,3.5739354569236497,ok,3209
1247,fineweb-edu-sample,2000,565,2000,565,1.0,0.0001,0.07407451612070196,0.07605151124531703,0.18791423001949317,0.07725037947863647,0.09374817844167965,0.00420862218444979,0.033730695319036094,0.11147244528614365,0.12781943164133383,1000,0.011424762839456107,token_identity,0.08549927896015806,0.21212121212121213,0.03571428571428572,7,0.8590519303004405,27.110986725663714,3.9595884955752254,ok,4129
